datetime,Acanthoica_quattrospina,Akashiwo,Alexandrium_catenella,Amphidinium,Amylax,Apedinella,Asterionellopsis_glacialis,Bacillaria,Bacillariophyceae,Bacteriastrum,Balanion,Biddulphia,Calciopappus,Calciosolenia_brasiliensis,Cerataulina_pelagica,Ceratium,Ceratium_furca,Ceratium_fusus,Ceratium_lineatum,Chaetoceros,Chaetoceros_danicus,Chaetoceros_didymus,Chaetoceros_didymus_TAG_external_flagellate,Chaetoceros_peruvianis,Chaetoceros_similis,Chaetoceros_socialis,Chaetoceros_subtilis,Chaetoceros_tenuissimus,Chaetoceros_throndsenii,Chroomonas,Chrysochromulina,Chrysochromulina_lanceolata,Corethron_hystrix,Corymbellus,Coscinodiscus,Cylindrotheca,Cylindrotheca_min,Dactyliosolen_blavyanus,Dactyliosolen_fragilissimus,Delphineis,Dictyocha,Dictyocysta,Didinium,Dinobryon,Dinophyceae,Dinophysis_acuminata,Dinophysis_norvegica,Dinophysis_tripos,Ditylum_brightwellii,Emiliania_huxleyi,Ephemera,Eucampia,Eucampia_morphytype1,Euglena,Euplotes,Euplotes_morphotype1,Eutintinnus,Favella,Gonyaulax,Guinardia_delicatula,Guinardia_delicatula_TAG_Amphidinium_grazing,Guinardia_delicatula_TAG_external_parasite,Guinardia_delicatula_TAG_internal_parasite,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Hemiaulus_membranaceus,Heterocapsa_rotundata,Heterocapsa_triquetra,Karenia,Katodinium_or_Torodinium,Laboea_strobila,Lauderia_annulata,Leegaardiella_ovalis,Leptocylindrus,Leptocylindrus_mediterraneus,Licmophora,Margalefidinium,Mesodinium,Nanoneis,Odontella,Ophiaster,Oxytoxum,Paralia_sulcata,Parvicorbicula_socialis,Phaeocystis,Phaeocystis_single,Pleuronema,Pleurosigma,Polykrikos,Prorocentrum,Prorocentrum_micans,Prorocentrum_triestinum,Proterythropsis,Protoperidinium,Pseudo-nitzschia,Pseudochattonella_farcimen,Pyramimonas,Pyramimonas_longicauda,Pyramimonas_morphotype1,Radiozoa,Rhabdosphaera,Rhizosolenia,Scrippsiella,Skeletonema,Stenosemella_morphotype1,Stenosemella_pacifica,Stephanopyxis,Strobilidium,Strombidium_capitatum,Strombidium_conicum,Strombidium_inclinatum,Strombidium_morphotype1,Strombidium_morphotype2,Strombidium_oculatum,Strombidium_wulffi,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Thalassiosira_TAG_external_detritus,Thalassiosira_sp_aff_mala,Tiarina_fusus,Tintinnida,Tintinnidium_mucicola,Tintinnopsis,Tontonia_appendiculariformis,Tontonia_gracillima,Vicicitus_globosus,Warnowia,amoeba,ciliate,coccolithophorid,cryptophyta,flagellate,flagellate_morphotype1,flagellate_morphotype3,pennate,pennate_Thalassionema,pennate_morphotype1,pollen,shellfish_larvae,square_unknown,unknown2,zooplankton
2021-05-04 17:34:03+00:00,0,0,0,0,0,2,0,0,26,0,69,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1205,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,3,2,6,29,162,0,29,1,0,0,0,0,7,0,0
2021-05-05 15:32:34+00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-05-05 15:39:10+00:00,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,2,1,0,0,0,0,3,0,0
2021-05-05 18:11:49+00:00,0,1,2,1,0,0,0,0,129,3,6,0,0,0,1,0,0,0,2,210,2,0,0,0,0,9,0,17,2,0,3,0,0,0,1,3,0,1,1,0,1,0,0,1,170,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,146,1,1,17,4,6,1,4,27,0,0,0,1,0,3,2,0,7,18,614,0,0,0,0,0,0,0,3,21,0,96,0,1,0,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,4,0,47,1,7,0,0,0,0,1,0,0,1,5,8,4,28,34,0,14,18,0,0,0,0,1,1,0
2021-05-05 18:36:07+00:00,0,0,0,0,0,0,1,0,71,2,8,0,1,1,1,0,1,1,7,176,3,2,0,0,0,17,0,9,0,0,2,0,3,0,5,8,1,3,1,0,2,0,0,0,144,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,13,1,0,67,1,4,23,8,3,0,21,16,0,0,0,2,0,1,1,0,5,14,681,0,1,0,0,0,0,0,0,25,0,120,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,14,0,70,0,12,0,0,0,0,0,0,0,2,1,7,7,16,28,0,17,43,0,0,0,0,5,0,0
2021-05-05 19:00:25+00:00,0,0,1,0,1,0,0,0,87,6,5,0,4,0,0,0,0,0,2,204,4,4,0,0,0,16,0,27,1,0,2,0,5,0,2,10,2,1,2,0,4,0,0,0,125,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,11,5,0,0,111,1,1,8,1,3,0,15,13,0,0,0,5,0,3,0,0,7,15,1065,0,4,0,0,0,0,0,1,31,0,91,0,0,0,1,2,0,11,0,0,0,0,0,0,2,0,0,0,0,2,1,42,0,8,0,1,0,0,2,0,0,0,2,5,6,16,32,0,21,47,0,0,0,0,2,0,1
2021-05-05 19:23:20+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05 19:29:42+00:00,0,0,1,1,0,0,1,0,9,1,2,0,0,0,1,0,1,0,1,65,7,7,0,0,0,13,0,3,0,1,0,0,2,0,1,0,1,1,0,0,1,0,0,2,36,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,19,0,2,11,1,3,0,6,13,0,0,0,1,0,3,0,0,1,2,128,1,0,0,1,0,0,0,2,12,0,13,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,4,0,1,0,0,0,0,0,0,0,5,6,5,5,0,2,21,0,0,0,0,0,0,0
2021-05-05 19:40:15+00:00,0,2,1,2,0,1,0,1,60,1,7,0,1,0,1,0,2,3,13,168,8,10,0,0,0,27,1,6,1,0,4,0,3,0,0,11,0,2,5,0,0,0,0,2,108,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,14,20,0,0,45,0,2,25,1,5,1,26,21,0,0,0,3,0,8,0,0,5,6,465,0,0,0,0,0,0,0,1,26,0,110,0,0,0,0,16,0,12,0,0,0,1,0,0,0,0,0,0,0,12,2,31,0,9,1,1,0,0,3,0,0,1,3,5,7,8,21,1,18,90,1,0,0,0,2,4,1
2021-05-05 20:04:33+00:00,1,0,1,0,0,1,0,0,121,7,7,0,1,0,1,1,0,0,6,320,3,12,0,0,0,28,1,13,0,1,2,0,2,0,1,12,0,0,4,0,4,0,0,2,215,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,148,1,3,25,0,1,0,32,30,0,0,0,1,0,5,2,0,5,18,721,0,2,0,0,0,0,0,1,47,0,124,0,0,0,0,2,0,14,0,0,0,2,0,0,0,1,0,0,0,4,1,26,0,10,0,2,0,1,4,0,0,0,4,3,19,17,45,2,27,77,0,0,0,0,3,1,1
2021-05-05 20:28:51+00:00,0,0,0,0,0,0,0,0,132,7,9,0,3,0,2,0,1,1,6,348,4,10,0,0,0,32,1,28,0,0,4,0,6,0,2,13,2,4,1,0,2,0,0,1,212,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,6,11,0,0,184,0,1,22,1,4,0,23,29,0,0,0,1,0,5,0,0,7,18,806,0,0,0,0,0,0,0,4,43,1,103,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,9,1,88,0,13,0,1,0,0,1,0,0,2,5,9,11,21,28,0,14,61,0,0,0,0,7,2,2
2021-05-05 20:53:10+00:00,0,0,1,0,1,0,3,0,101,9,9,0,2,2,1,0,0,2,9,344,6,13,0,0,1,58,1,25,1,1,1,0,2,2,5,16,2,3,1,0,3,1,0,1,226,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,11,17,0,0,134,0,2,19,3,1,0,13,39,0,0,1,5,0,4,4,0,12,12,609,0,2,0,0,0,0,0,0,43,0,81,0,0,0,0,3,0,19,0,0,0,0,0,0,0,1,0,0,0,3,2,51,0,13,2,3,0,0,5,0,0,0,7,4,19,23,25,0,22,58,0,0,0,0,11,1,2
2021-05-05 21:17:28+00:00,0,1,1,0,0,0,1,0,97,3,12,0,3,0,3,0,0,0,7,306,0,4,0,0,0,19,0,27,0,0,4,0,4,0,2,12,0,4,0,0,6,0,0,1,232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,159,0,2,28,4,5,0,4,24,0,0,0,2,0,6,1,0,9,11,762,0,1,0,0,0,0,0,1,35,0,80,0,0,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,3,1,38,0,13,0,2,0,0,3,0,0,0,14,10,5,26,22,0,13,55,0,0,0,0,6,0,1
2021-05-05 21:41:47+00:00,0,0,2,1,0,0,0,0,80,1,17,0,4,0,3,0,0,0,3,288,2,1,0,0,1,12,1,23,0,0,3,0,2,0,3,8,0,1,2,0,2,0,0,1,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,202,0,1,21,2,3,0,3,9,0,0,1,3,0,2,1,0,10,15,1153,0,0,0,0,0,0,0,2,10,0,166,0,1,0,0,2,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,37,0,10,0,4,0,0,2,0,0,0,1,9,10,22,43,1,16,21,1,0,0,0,4,2,0
2021-05-05 22:22:58+00:00,2,0,0,0,0,0,0,0,65,1,6,0,7,0,0,0,0,0,1,130,0,1,0,0,0,5,0,18,0,0,1,0,0,0,1,1,0,1,0,0,4,0,0,1,91,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,145,0,0,12,0,1,0,0,0,0,0,0,1,0,1,0,0,23,16,1604,0,0,0,0,0,0,0,2,3,0,198,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,52,0,7,0,0,0,0,0,0,0,0,6,3,5,20,28,0,21,18,0,0,0,0,4,0,0
2021-05-05 22:47:18+00:00,1,0,0,0,0,0,0,0,26,0,6,0,6,0,2,0,0,0,0,73,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,84,0,1,5,0,1,0,0,0,0,0,0,0,0,3,1,0,5,2,691,0,0,0,0,0,0,0,0,4,0,78,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,1,0,0,1,0,0,0,1,1,3,14,21,0,8,4,0,0,0,0,5,1,0
2021-05-05 23:02:26+00:00,0,0,0,0,0,0,0,0,61,0,9,0,7,0,0,1,0,1,0,141,0,2,0,0,0,4,0,18,0,0,2,0,0,0,4,2,1,1,0,0,5,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,192,0,0,7,0,0,0,2,0,0,0,0,0,0,1,2,0,8,10,1280,0,1,0,0,0,0,0,0,6,0,175,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,4,0,1,0,0,0,0,0,0,2,4,7,21,28,0,18,12,0,0,0,0,8,0,0
2021-05-05 23:26:45+00:00,0,0,1,0,0,0,0,0,55,2,9,0,7,0,0,0,0,0,0,125,0,3,0,0,0,2,0,23,0,0,4,0,0,0,0,2,0,0,1,0,4,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,157,0,0,6,0,2,0,0,1,0,0,0,1,0,0,1,0,9,9,1321,0,0,0,0,0,0,0,0,4,0,186,0,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,6,0,0,0,0,0,0,0,0,3,3,11,15,24,0,22,12,0,0,0,0,3,4,0
2021-05-05 23:51:06+00:00,0,0,1,0,0,0,0,0,61,3,3,0,10,0,1,0,0,0,1,133,1,2,0,0,0,8,0,14,0,0,1,0,0,0,0,5,0,0,0,0,5,0,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,0,0,14,0,2,0,1,0,0,0,0,0,0,1,2,0,14,11,1260,0,0,0,0,0,0,0,0,8,0,175,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,1,31,0,7,0,0,0,0,1,0,0,0,1,0,9,17,20,0,26,24,0,0,0,0,8,0,0
2021-05-06 00:15:26+00:00,1,0,0,0,0,1,0,0,57,0,3,0,5,0,0,0,1,0,0,130,0,1,0,0,0,7,0,17,0,0,1,0,0,0,1,3,1,0,0,0,3,0,0,2,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,152,0,1,6,0,2,0,1,0,0,0,0,2,1,3,2,0,15,7,1224,0,0,0,0,0,0,0,2,7,0,144,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,8,0,0,0,0,0,0,0,0,1,0,4,23,20,0,14,16,0,0,0,0,7,1,0
2021-05-06 00:39:47+00:00,0,0,0,0,0,0,0,0,60,2,6,0,5,0,0,0,0,0,0,108,0,0,0,0,0,6,0,16,0,2,1,0,0,0,1,2,0,0,0,0,3,0,0,2,69,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,140,0,1,15,0,0,0,0,1,0,0,0,1,0,2,0,0,8,15,1181,0,0,0,0,0,0,0,1,2,0,164,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0,0,2,4,9,21,24,0,13,21,0,0,0,0,5,1,0
2021-05-06 01:08:23+00:00,0,0,0,0,0,0,1,0,77,0,12,0,10,0,0,0,0,0,1,154,1,2,0,0,0,14,0,20,0,0,2,0,1,0,1,2,0,3,2,0,4,0,0,1,98,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,165,0,2,10,0,2,0,3,0,0,0,0,1,0,0,2,0,9,13,1530,0,1,0,0,0,0,0,1,9,0,179,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,10,0,0,0,0,1,0,0,0,3,4,10,26,47,0,23,25,0,0,0,0,4,1,1
2021-05-06 01:32:43+00:00,0,0,1,0,0,2,0,0,71,1,5,0,8,0,0,0,0,1,1,141,0,1,0,0,0,12,0,23,0,0,1,0,0,0,2,6,0,0,1,0,3,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,152,0,1,12,0,2,0,0,1,0,0,0,0,0,4,2,0,16,6,1420,0,1,0,0,0,0,0,2,9,0,188,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,4,33,0,9,0,0,0,0,0,0,0,0,1,0,9,24,36,0,22,14,0,0,0,0,11,3,0
2021-05-06 02:01:33+00:00,0,0,0,0,0,0,0,0,99,3,7,0,4,0,3,0,1,0,5,268,1,9,0,0,0,14,0,21,0,0,2,0,4,0,5,7,4,0,3,0,6,0,0,2,178,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,11,0,0,205,0,4,27,1,5,0,10,14,0,0,0,1,0,6,1,0,12,19,952,0,1,0,0,0,0,0,1,36,0,165,0,0,0,1,1,0,13,0,1,0,0,0,0,0,2,0,0,1,1,0,49,0,15,0,1,1,0,0,0,0,0,2,2,12,23,56,1,25,56,0,0,0,0,3,1,2
2021-05-06 02:25:51+00:00,2,0,1,0,0,1,0,0,118,12,5,1,3,0,0,0,0,0,7,245,2,9,0,0,0,13,0,33,0,0,2,0,4,0,3,8,0,1,1,0,9,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,0,0,265,0,1,30,0,3,2,11,25,0,0,0,1,0,3,3,0,10,20,925,0,0,0,1,0,0,0,2,23,0,105,0,0,0,0,4,0,12,0,1,0,0,0,0,1,1,0,2,0,2,1,46,1,12,0,2,0,0,0,0,0,0,2,10,17,29,29,0,28,31,0,0,0,0,9,0,3
2021-05-06 02:50:10+00:00,1,0,1,0,0,0,0,0,188,10,2,0,5,0,2,0,0,0,10,245,5,7,0,0,0,23,0,22,0,0,6,0,0,1,2,7,0,1,4,0,6,0,0,2,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12,0,0,197,1,2,31,0,4,0,11,16,0,0,0,1,0,7,2,0,8,21,478,0,0,0,0,0,0,1,4,33,0,69,0,0,1,0,1,0,11,0,1,0,0,0,0,0,1,0,0,0,2,0,31,0,9,0,0,0,1,2,0,0,0,6,18,6,22,43,0,23,14,0,0,0,0,5,0,0
